Job_Title,Industry,Job_Status,AI_Impact_Level,Median_Salary_USD,Required_Education,Experience_Required_Years,Job_Openings_2024,Projected_Openings_2030,Remote_Work_Ratio_,Automation_Risk_,Location,Gender_Diversity_
Secondary school teacher,Finance,Decreasing,High,93544.68,PhD,4,5398,3531,84.75,31.07,Germany,49.88
"Production assistant, radio",Healthcare,Decreasing,Low,46266.16,High School,1,8039,3829,43.59,51.38,China,78.99
Armed forces technical officer,Retail,Decreasing,Moderate,71416.54,PhD,13,8317,9078,65.03,47.23,India,53.79
Youth worker,Retail,Increasing,High,87600.51,Masters Degree,18,4286,8248,88.38,60.76,USA,67.62
Special effects artist,Education,Increasing,Low,51884.36,PhD,0,348,5612,65.42,18.17,India,48.47
Ceramics designer,Transportation,Increasing,Moderate,73897.67,Associate Degree,11,1473,8555,78.17,60.65,Brazil,32.69
Animal technologist,Transportation,Increasing,High,69209.9,Masters Degree,3,1464,6938,81.2,66.42,Canada,44.82
Firefighter,IT,Increasing,Moderate,59976.59,High School,4,2163,6734,100,55.35,Canada,48.98
Charity fundraiser,Education,Increasing,Low,50103.99,Bachelors Degree,2,7568,9624,77.19,50.76,India,38.94
Housing manager/officer,Education,Increasing,Moderate,81333.71,PhD,17,2582,5018,47.77,43.03,USA,34.93
Jewellery designer,Retail,Decreasing,Moderate,39347.12,High School,15,3369,3297,33.82,99.31,Canada,43.89
Ecologist,IT,Decreasing,Moderate,88676.88,Associate Degree,17,5407,4631,70.09,67.21,India,42.53
Operations geologist,Entertainment,Decreasing,High,44206.44,High School,5,7635,3586,66.78,84.22,USA,26.25
Patent attorney,Entertainment,Decreasing,Moderate,66358.13,Associate Degree,18,1334,2198,48.85,70.16,China,32.51
Media buyer,Transportation,Increasing,High,103707.74,PhD,20,1527,5198,52.98,56.42,China,69.95
Town planner,Entertainment,Decreasing,Moderate,71976.43,Masters Degree,14,8467,4447,52.74,64.99,China,26.15
Tour manager,Finance,Decreasing,High,46139.51,Associate Degree,5,6840,6963,90.18,64.38,UK,26.05
Higher education careers adviser,Finance,Increasing,Moderate,88432.83,Masters Degree,9,7445,9354,78.55,46.43,UK,75.44
Fitness centre manager,Transportation,Increasing,Low,90073.93,Bachelors Degree,20,3104,7299,48.49,61.08,UK,69.5
Immunologist,IT,Increasing,High,93980.05,PhD,2,7341,8522,87.44,44.27,India,20.75
Contracting civil engineer,Finance,Decreasing,High,104459.45,PhD,12,9860,1304,100,58.52,Canada,55.07
Surgeon,Healthcare,Decreasing,Moderate,79624.87,PhD,2,6281,447,37.12,28.7,Brazil,37.04
Environmental consultant,Transportation,Decreasing,Low,79063.92,Associate Degree,20,1830,3231,53.13,63.2,India,39.11
"Engineer, electrical",Manufacturing,Decreasing,Moderate,67865.57,PhD,3,7659,7989,56.64,58,Brazil,58.24
"Surveyor, commercial/residential",IT,Decreasing,High,66395.27,Bachelors Degree,0,3922,327,95.12,45.4,India,26.59
Customer service manager,Finance,Decreasing,Moderate,97801.92,Bachelors Degree,20,2523,2066,84.29,76.45,Australia,79.71
Microbiologist,Entertainment,Decreasing,Low,55530.27,Bachelors Degree,6,5766,1439,42.23,64.41,Germany,30.38
Secretary/administrator,Retail,Decreasing,Moderate,52238.22,Masters Degree,4,1437,272,91.24,62.77,USA,28.52
Armed forces operational officer,Finance,Increasing,Moderate,91836.86,High School,20,2105,7045,100,72.35,USA,20.25
"Therapist, horticultural",Healthcare,Decreasing,High,100553.53,PhD,11,8459,4383,65.69,50.83,Australia,30.99
Architect,Healthcare,Decreasing,Low,91457.15,Bachelors Degree,16,7292,2487,64.88,35.72,Germany,26.25
"Engineer, structural",Education,Decreasing,Moderate,60307.45,Bachelors Degree,7,7836,6700,44.83,72.1,Australia,63.61
Trade union research officer,IT,Decreasing,Low,89243.6,Masters Degree,8,3144,3121,92.13,29.86,Brazil,60.82
Radio producer,Finance,Decreasing,High,104899.8,Masters Degree,20,7406,3389,100,72.3,Brazil,48.26
Primary school teacher,Manufacturing,Increasing,Low,38606.68,High School,0,1171,8644,68.6,64.94,India,60.76
Site engineer,Finance,Increasing,High,73105.16,Masters Degree,1,1868,6591,73.16,77.95,Australia,26.77
Tour manager,Retail,Decreasing,High,33965.33,Bachelors Degree,6,3142,507,62.07,85.44,USA,74.74
Electrical engineer,Manufacturing,Decreasing,High,49486.04,Bachelors Degree,2,5614,3475,57.23,74.64,Germany,53.48
Armed forces logistics/support/administrative officer,Retail,Decreasing,Low,44609.68,Associate Degree,11,2103,3229,60.81,81.49,Germany,53.01
"Programmer, systems",Finance,Increasing,High,54104.27,High School,9,1876,5623,100,88.47,UK,22.67
Archivist,Finance,Decreasing,Moderate,84159.15,Masters Degree,7,2569,1514,75.36,48.75,Germany,52.41
Tourist information centre manager,Retail,Decreasing,Low,45276.79,Associate Degree,8,7005,8436,49.97,66.33,Brazil,77.46
Occupational therapist,Manufacturing,Decreasing,Low,95522.68,PhD,20,7442,8558,45.14,53.72,Brazil,57.67
General practice doctor,Transportation,Increasing,High,63071.41,PhD,0,4069,5391,65.22,64.23,USA,37.47
Air cabin crew,Retail,Decreasing,Low,60692.91,Masters Degree,10,815,1655,60.62,64.76,USA,74.62
"Therapist, art",Retail,Increasing,Moderate,57496.57,PhD,5,622,2406,93.25,27.69,USA,53.94
"Lighting technician, broadcasting/film/video",Education,Decreasing,Moderate,37342.68,Bachelors Degree,5,9510,9086,43.23,73.03,China,43.21
Herbalist,Manufacturing,Increasing,High,77937.91,Masters Degree,11,813,2546,72.59,49.96,India,64.31
Technical brewer,Education,Decreasing,High,79357.99,PhD,12,9965,2903,22.68,56.59,Brazil,46.01
Water engineer,Entertainment,Increasing,Moderate,53841.04,Bachelors Degree,4,187,8383,84.99,56.94,USA,28.55
Animal technologist,Finance,Increasing,Moderate,57392.89,Associate Degree,7,2976,8835,83.43,83.19,USA,27.37
Clothing/textile technologist,Finance,Decreasing,High,85625.14,Masters Degree,12,7678,5185,91.09,64.61,Brazil,33.84
Site engineer,Education,Decreasing,Moderate,76821.71,Masters Degree,17,4517,3138,55.66,55.03,Australia,51.11
Cabin crew,Retail,Decreasing,Moderate,63719.5,Associate Degree,15,4742,4747,60.1,58.97,UK,53.04
Estate manager/land agent,Retail,Increasing,Moderate,55000.77,PhD,5,701,3748,53.08,63.05,Germany,47.46
Database administrator,Entertainment,Increasing,Moderate,77225.2,Bachelors Degree,17,5028,7954,58.16,66.52,Brazil,59.66
"Teacher, music",Manufacturing,Increasing,Moderate,106861.09,PhD,17,3722,8025,82.23,46.63,Canada,66.61
Clinical embryologist,IT,Decreasing,Moderate,81204.02,Associate Degree,16,6683,3285,77.15,59.35,Australia,37.61
Photographer,Retail,Decreasing,Low,78552.75,Bachelors Degree,19,3161,1466,51.45,49.44,Brazil,43.23
Consulting civil engineer,Transportation,Decreasing,Moderate,58651.1,High School,15,5603,6775,45.79,88.18,China,76.68
"Designer, multimedia",Finance,Decreasing,High,79274.47,PhD,1,3400,2048,100,44.54,China,62.43
Architectural technologist,Education,Increasing,High,43084.49,High School,16,2870,9159,47.72,80.3,China,20.36
Acupuncturist,Retail,Decreasing,Moderate,59582.59,Bachelors Degree,17,7125,470,49.32,66.75,Brazil,67.13
"Engineer, technical sales",Manufacturing,Increasing,Moderate,96069.93,Bachelors Degree,20,6137,8584,58.69,43.51,China,60.05
"Engineer, mining",Healthcare,Decreasing,Low,101538.52,PhD,12,6625,5265,77.95,8.96,China,22.78
"Investment banker, operational",Education,Decreasing,Low,47319.85,PhD,2,3494,1524,42.44,27.92,UK,40.62
Manufacturing engineer,Transportation,Decreasing,Moderate,44898.38,High School,4,5842,2181,61.22,70.74,Germany,40.78
"Librarian, public",Education,Decreasing,High,32587.75,High School,4,7767,669,55.29,77.11,Germany,60.52
Air broker,Transportation,Increasing,Low,66035.18,Bachelors Degree,9,5919,7865,61.95,44.08,India,37.44
Counselling psychologist,Finance,Decreasing,Moderate,76837.19,Associate Degree,10,8436,7321,83.28,55.63,Australia,27
Microbiologist,Finance,Decreasing,High,62053.57,High School,13,7779,2602,80.47,81.22,Brazil,47.94
Quarry manager,Entertainment,Decreasing,Moderate,84188.12,PhD,12,1542,224,72.56,33.89,China,27.12
Speech and language therapist,Finance,Decreasing,Low,72116.23,Associate Degree,6,8551,7427,59.76,63.9,UK,73.21
Ranger/warden,Retail,Decreasing,High,58628.76,Associate Degree,16,1135,1815,40.88,85.87,Brazil,22.82
Animal nutritionist,Retail,Increasing,Low,77650.96,PhD,9,1393,5492,36.68,51.88,China,64.51
Ecologist,Education,Increasing,Low,92063.59,Masters Degree,17,2010,4265,86.18,36.54,USA,34.36
"Engineer, civil (contracting)",Finance,Increasing,High,67906.16,High School,16,6398,9686,98.89,81.27,India,67.3
Hospital pharmacist,IT,Decreasing,Low,40539.43,High School,8,6427,2431,47.42,69.93,Germany,64.92
Police officer,Healthcare,Increasing,High,94358.84,Bachelors Degree,14,1024,4511,61.43,60.01,USA,79.33
Research scientist (maths),Healthcare,Increasing,Low,66181.97,Bachelors Degree,12,1339,8007,52.71,56.34,India,31.77
"Lighting technician, broadcasting/film/video",Education,Decreasing,High,28000,High School,3,6086,1278,58.92,86.01,India,23.89
Radiation protection practitioner,Education,Decreasing,Moderate,29643.63,Bachelors Degree,2,6513,5031,61.02,64.62,Brazil,61.5
Database administrator,Healthcare,Decreasing,Moderate,45303.16,High School,7,9910,1918,47.87,70.56,Australia,29.85
Advice worker,Entertainment,Decreasing,Moderate,59453.41,Bachelors Degree,3,4866,2662,55.08,75.01,Canada,53.4
Meteorologist,Finance,Increasing,High,97359.57,Associate Degree,19,4293,8258,98.27,70.36,China,70.41
Aeronautical engineer,Entertainment,Decreasing,Moderate,57554.26,Associate Degree,12,9748,5026,44.08,63.11,China,51.55
"Administrator, local government",Education,Increasing,Low,91451.55,PhD,11,3020,7776,56.24,46.28,China,47.94
Museum/gallery conservator,IT,Increasing,Low,92904.06,Masters Degree,8,245,1348,98.71,36.01,USA,51.48
Technical author,Transportation,Increasing,High,88170.46,PhD,9,6805,8708,74.84,46.48,Germany,59.53
Multimedia specialist,IT,Decreasing,Low,129602.86,PhD,17,3983,4328,96.4,9.28,Germany,62.93
Counsellor,Retail,Increasing,High,28000,High School,3,2123,8756,42.79,92.55,China,21.56
"Engineer, maintenance (IT)",Entertainment,Decreasing,Moderate,81899.29,Associate Degree,20,9241,7360,27.93,74.67,Germany,32.58
Fish farm manager,Healthcare,Decreasing,High,111211.7,Bachelors Degree,19,5099,3767,31.55,62.44,UK,66.3
Ambulance person,Entertainment,Decreasing,Moderate,76317.86,Masters Degree,11,5664,726,55.94,44.13,Germany,54.18
Multimedia programmer,Manufacturing,Decreasing,Moderate,86174.12,Bachelors Degree,17,5543,7847,58.49,69.92,China,45.09
Higher education lecturer,Manufacturing,Decreasing,Moderate,90166.51,Masters Degree,9,8656,1839,53.71,53.57,Australia,48.13
Quantity surveyor,Manufacturing,Decreasing,High,104386.41,Masters Degree,18,2147,200,43.23,57.4,China,79.28
"Surveyor, commercial/residential",IT,Decreasing,Moderate,79169.15,Bachelors Degree,8,6224,4765,67.91,56.32,USA,67.83
Database administrator,Finance,Decreasing,High,88520.2,Bachelors Degree,18,5061,2666,88.44,73.86,Brazil,36.82
Senior tax professional/tax inspector,Healthcare,Decreasing,Low,48058.42,Associate Degree,0,2239,2287,73.35,50.87,UK,35.16
Interpreter,Education,Increasing,Low,34447.87,High School,9,3614,7433,38.82,73.89,UK,57.36
Animator,Finance,Decreasing,High,78044.56,Masters Degree,7,9468,1197,88.63,59.91,UK,33.48
"Exhibitions officer, museum/gallery",Entertainment,Decreasing,Low,66658.77,PhD,1,5842,4041,51.34,10.7,India,43.07
Museum/gallery exhibitions officer,Finance,Decreasing,Moderate,101520.6,PhD,13,7452,533,100,57.42,Germany,57.39
Press sub,Manufacturing,Increasing,Low,73602.2,PhD,2,1865,7124,60.12,51.75,Germany,78.01
Automotive engineer,Healthcare,Decreasing,High,48742.96,Bachelors Degree,3,7139,2848,70.82,51.33,China,61.77
Counselling psychologist,Transportation,Decreasing,Low,41752.46,High School,9,426,2184,51.76,82.22,UK,53.4
Contractor,Education,Increasing,Low,54422.64,Associate Degree,12,3008,5292,54.8,51.56,Germany,55.49
Animal nutritionist,Education,Decreasing,Moderate,59280.53,High School,18,5068,1631,37.2,77.15,Canada,33.37
Youth worker,Manufacturing,Decreasing,Moderate,76464.44,Associate Degree,15,8052,7954,40.46,74.94,India,24.81
"Scientist, research (maths)",Healthcare,Increasing,High,83036.38,Bachelors Degree,11,847,9885,62.9,51.48,USA,79.69
Horticultural consultant,Finance,Decreasing,High,94633.97,PhD,10,7120,7702,95.45,73.61,China,35.75
Music therapist,Finance,Decreasing,High,60410.68,High School,9,7886,3875,100,74.23,USA,71.87
Careers adviser,Entertainment,Decreasing,High,38190.56,Bachelors Degree,0,6192,575,39.55,69.15,Australia,68.89
Paediatric nurse,Manufacturing,Increasing,Low,53634.88,Associate Degree,6,4262,7171,67.87,54.4,Germany,64.8
Research scientist (physical sciences),Finance,Decreasing,Moderate,103650.67,PhD,11,9680,9221,93.95,35.4,USA,54.16
"Programmer, applications",Education,Decreasing,High,72512.37,PhD,10,6069,2051,47.39,65.28,UK,64.49
Child psychotherapist,IT,Decreasing,Low,113759.05,Bachelors Degree,19,6848,6126,45.88,44.44,China,21.4
Early years teacher,Healthcare,Increasing,Moderate,73585.77,Associate Degree,14,2100,4815,43.47,58.21,USA,35.38
Armed forces technical officer,Entertainment,Decreasing,Low,81911.79,Masters Degree,11,8080,8549,51.36,59.31,Canada,41.76
Electrical engineer,IT,Increasing,Moderate,56440.98,Associate Degree,9,2440,4924,75.33,74.29,USA,71.39
Statistician,Education,Increasing,High,106700.6,Masters Degree,19,5190,9121,72.53,55.26,Germany,79.76
Ambulance person,Manufacturing,Increasing,Low,95174.47,PhD,11,3375,9427,55.13,40.43,USA,34.02
Advertising account executive,Retail,Increasing,Low,76071.51,Bachelors Degree,18,148,4850,60.09,55.23,USA,52.83
Electronics engineer,Finance,Increasing,Moderate,89806.87,Masters Degree,13,1496,6566,68.09,58.13,Canada,20.47
Advertising account planner,Healthcare,Decreasing,High,115963.62,PhD,19,8653,9418,67.83,42.59,Brazil,73.22
Ergonomist,IT,Increasing,Low,111920.03,Bachelors Degree,20,3266,7064,66.51,41.28,Germany,64.37
Community arts worker,Education,Decreasing,Moderate,60849.81,Bachelors Degree,18,4979,5010,66.14,54.88,Germany,51.08
Accounting technician,Manufacturing,Decreasing,Moderate,71353.77,High School,19,7183,880,64.5,88.9,Brazil,69.01
Magazine features editor,Finance,Decreasing,High,82176.61,Masters Degree,10,2277,424,66.51,68.43,UK,34.43
"Engineer, building services",Education,Decreasing,Moderate,29915.75,Associate Degree,11,9791,2123,81.85,90.19,USA,20.69
"Administrator, local government",Entertainment,Decreasing,Low,50692.82,High School,17,6622,6520,43.18,81.58,Canada,54.39
Bookseller,Entertainment,Increasing,Moderate,61336.47,Bachelors Degree,11,3007,8110,61.43,69.19,India,50.56
Cabin crew,Transportation,Decreasing,Low,96288.84,Masters Degree,18,4674,3718,70.47,60.84,UK,62.46
Cartographer,Healthcare,Decreasing,Low,130397.2,PhD,16,6314,3279,51.89,7.39,UK,42.78
Pensions consultant,IT,Increasing,High,91236.55,PhD,4,1169,9952,81.49,47.22,USA,45.55
"Biochemist, clinical",Healthcare,Increasing,High,116556.05,Masters Degree,17,2732,8497,52.64,50.93,Germany,34.24
"Designer, ceramics/pottery",IT,Decreasing,High,93980.35,High School,20,9306,2830,86.86,69.26,Brazil,52
Dramatherapist,Entertainment,Decreasing,High,44825.5,Associate Degree,4,7973,2664,61.76,75.41,USA,67.23
Herbalist,Transportation,Decreasing,Moderate,46510.17,High School,7,918,374,70.93,81.64,UK,39.75
Water engineer,Finance,Decreasing,High,74888.78,Bachelors Degree,16,7984,4961,100,89.47,Australia,37.78
Training and development officer,Finance,Decreasing,Moderate,89399.97,PhD,5,2519,1191,100,26.29,China,62.35
Museum education officer,Education,Decreasing,High,77550.01,Masters Degree,19,5590,5737,72.11,50.5,China,74.34
"Therapist, music",Entertainment,Increasing,High,63464.76,Masters Degree,3,3071,6973,70.96,56.44,Canada,22.32
Materials engineer,Healthcare,Decreasing,Moderate,69439.83,Bachelors Degree,3,5613,3240,49.95,63.34,Australia,41.79
Clinical biochemist,Manufacturing,Increasing,Low,90678.89,Bachelors Degree,20,659,5208,47.69,68.41,Canada,61.79
Ceramics designer,Retail,Decreasing,Low,31184.97,High School,5,1073,1829,26.86,71.87,India,55.85
Chiropodist,Retail,Decreasing,Moderate,28000,High School,5,2667,1438,70.98,69.85,India,56.94
Water engineer,Healthcare,Decreasing,Moderate,95037.94,Masters Degree,6,9794,5764,59.71,43.31,Australia,78.43
Animal nutritionist,Education,Decreasing,Low,34663.38,High School,6,9520,8776,55.01,75.75,Germany,67.35
"Journalist, broadcasting",Finance,Decreasing,High,99168.74,PhD,11,4540,1996,49.81,73.08,Germany,77.22
Industrial buyer,IT,Increasing,Moderate,94891.8,Associate Degree,16,2846,5782,73.12,59.78,UK,41.77
Media buyer,Finance,Increasing,High,69204.03,Bachelors Degree,4,3290,6658,100,55.59,Germany,51.41
Legal executive,Healthcare,Decreasing,Moderate,39439.3,Bachelors Degree,1,8806,833,60.96,71.44,Germany,20.12
"Doctor, hospital",IT,Increasing,Low,84898.12,Bachelors Degree,6,309,5365,76.08,37.58,USA,73.35
Multimedia programmer,Finance,Increasing,Moderate,86144.13,PhD,3,1353,7982,90.24,49.01,Germany,25.9
Risk manager,IT,Decreasing,Moderate,63241,High School,10,6872,2619,100,57.4,China,28.15
Youth worker,Manufacturing,Decreasing,Low,38364.38,Associate Degree,3,4232,2368,49.47,63.51,Germany,36.53
Recycling officer,IT,Increasing,Moderate,115364.11,PhD,12,103,8879,93.82,36.99,Brazil,57.07
Travel agency manager,Transportation,Decreasing,Moderate,71302.16,Masters Degree,7,5362,2577,58.9,67.35,China,69.32
"Teacher, secondary school",Entertainment,Decreasing,Moderate,50710.75,High School,12,8912,3043,53.12,87.98,China,55.72
Manufacturing engineer,Entertainment,Decreasing,Moderate,91924.32,Masters Degree,10,7670,3918,77.06,46.28,India,32.95
Community pharmacist,Manufacturing,Decreasing,High,34176.06,High School,6,5240,4210,87.23,94.72,China,74.61
Tour manager,Entertainment,Increasing,High,71116.94,Bachelors Degree,15,4340,9431,78.15,69.73,China,74.5
Quantity surveyor,Healthcare,Increasing,Low,84393.28,Associate Degree,10,2507,8989,56.5,28.11,Germany,72.84
Publishing rights manager,Finance,Decreasing,High,59587.64,Associate Degree,4,5986,4880,100,81.27,Brazil,31.23
Meteorologist,Education,Decreasing,Moderate,67711.99,Bachelors Degree,14,4574,6529,33.59,77.92,China,30.94
Volunteer coordinator,Retail,Decreasing,Low,92188.54,PhD,20,8957,9590,61.73,49.71,UK,76.18
Musician,Transportation,Decreasing,Moderate,38044.4,Associate Degree,3,7274,9294,42.5,78.9,India,43.97
"Sales professional, IT",Manufacturing,Increasing,High,89300.63,Masters Degree,20,1271,3010,50.46,78.74,China,30.86
Retail banker,Entertainment,Increasing,Low,98753.21,Masters Degree,16,5443,7004,73.41,25.27,Australia,62.57
Games developer,Healthcare,Increasing,Moderate,102461.23,Bachelors Degree,17,2428,7840,76.5,56.09,Canada,55.81
"Accountant, chartered",Finance,Increasing,Low,76187.44,Bachelors Degree,11,5257,9137,66.04,53.04,China,49.9
"Teacher, primary school",IT,Increasing,High,97573.02,Bachelors Degree,14,2830,9661,83.36,62.76,India,77.44
IT sales professional,IT,Decreasing,Moderate,97798.36,Associate Degree,18,5754,2434,73.23,53.33,India,44.54
Theatre stage manager,Manufacturing,Decreasing,Moderate,84196.03,Masters Degree,12,8086,4981,69.02,60.61,Brazil,42.09
Museum/gallery curator,IT,Increasing,Moderate,133841.22,PhD,19,3828,6111,100,13.71,USA,65.8
Petroleum engineer,Healthcare,Decreasing,High,74770.93,PhD,4,9874,8279,95.99,42.69,India,39.32
Health service manager,Education,Decreasing,Low,47887.06,Associate Degree,7,2214,3221,70.96,57.41,India,60.35
Planning and development surveyor,Finance,Decreasing,High,94452.6,PhD,7,9965,5384,100,44.05,Canada,59.41
Estate agent,Manufacturing,Decreasing,High,88929.46,Bachelors Degree,19,5930,1998,40.98,78.74,USA,38.27
"Scientist, research (life sciences)",Manufacturing,Decreasing,Low,55042.14,High School,13,1702,3499,39.87,88.35,China,36.23
"Surveyor, mining",Transportation,Decreasing,Low,66135.05,Bachelors Degree,3,4087,6573,56.84,60.57,USA,21.32
"Producer, radio",IT,Increasing,Low,70870.83,Bachelors Degree,2,6372,7684,100,31.46,Brazil,22.37
"Engineer, materials",Healthcare,Decreasing,Moderate,57636.06,Bachelors Degree,3,4674,940,57.15,46.91,Australia,69.63
"Surveyor, insurance",Transportation,Decreasing,High,89174.45,PhD,11,8595,2356,83.47,41.78,UK,48.23
Ceramics designer,Transportation,Increasing,Moderate,77273.55,Masters Degree,10,166,4234,52.72,49.64,China,24.35
Public librarian,Manufacturing,Decreasing,Moderate,45007.16,Bachelors Degree,0,7127,786,55.65,55,Germany,31.11
Drilling engineer,Finance,Increasing,High,117120.41,Masters Degree,19,1803,6270,88.68,51.32,UK,73.77
Economist,IT,Increasing,Low,93533.12,Masters Degree,7,370,8428,81.6,38.06,USA,24.91
Electronics engineer,Entertainment,Increasing,High,42127.1,Associate Degree,7,1641,8446,63.31,95.14,India,48.74
Farm manager,Healthcare,Increasing,Low,100774.57,Bachelors Degree,18,6336,9949,36.59,35.63,Australia,69.66
Location manager,Transportation,Increasing,Moderate,43070.36,High School,10,316,6617,22.58,93.74,UK,71.1
Amenity horticulturist,Education,Increasing,High,28000,High School,6,581,6806,46.07,94.78,Germany,71.64
Special educational needs teacher,Education,Decreasing,Low,75473.57,Bachelors Degree,20,9655,8179,64.26,36.65,Brazil,23.19
Mental health nurse,Education,Decreasing,Low,76143.19,PhD,8,9737,3603,50.6,38.17,Brazil,24.48
Hydrologist,Transportation,Decreasing,High,91152.25,Bachelors Degree,20,6636,6527,90.89,62.69,Canada,40.94
Bonds trader,Manufacturing,Increasing,Moderate,65868.56,Associate Degree,18,7815,9402,52.97,73.72,India,79.53
Product manager,Healthcare,Decreasing,Low,80986.62,PhD,2,9481,4889,63.16,14.84,China,22.03
"Production assistant, television",Entertainment,Decreasing,Low,46735.71,Associate Degree,3,994,1417,37.97,69.48,China,55.65
Minerals surveyor,Finance,Decreasing,High,64168.01,Bachelors Degree,1,3742,4073,95.43,69.06,India,38.2
"Engineer, chemical",Finance,Decreasing,High,103105.71,Masters Degree,13,2992,3517,100,38.05,Canada,46.21
Environmental health practitioner,Healthcare,Increasing,Moderate,74535.81,High School,18,765,3065,52.98,64.28,Germany,77.9
Investment analyst,Entertainment,Decreasing,Low,79902.88,Masters Degree,14,3230,2863,63.71,45,Brazil,33.92
Media buyer,Healthcare,Increasing,Low,79535.06,PhD,4,4375,6430,65.65,30.49,China,37.56
Aeronautical engineer,IT,Increasing,Low,97477.04,PhD,8,419,6273,78.46,23.22,Canada,75.99
"Teacher, early years/pre",Healthcare,Decreasing,Low,107138.68,Masters Degree,18,6949,1766,80.62,36.3,Germany,67.83
"Librarian, public",Entertainment,Decreasing,Moderate,58062.07,High School,14,4461,3641,45.32,75.25,USA,53.25
"Scientist, product/process development",Healthcare,Increasing,Moderate,115692.48,PhD,16,121,8613,87.91,53.07,Germany,55.01
Civil Service fast streamer,Transportation,Decreasing,High,37909.7,Associate Degree,5,1028,2850,34.9,97.22,Australia,64.9
Hospital doctor,Retail,Increasing,Moderate,54177.07,Masters Degree,4,2402,6663,72.6,80.94,China,29.92
Aid worker,IT,Decreasing,Low,77648.19,Bachelors Degree,3,9480,7096,88.79,21.21,Canada,23.03
Chartered accountant,Manufacturing,Decreasing,Moderate,92373.1,Bachelors Degree,20,8311,9401,57.38,71.55,Australia,31.36
Chiropodist,Healthcare,Decreasing,Low,98913.27,Masters Degree,8,1744,2315,50.13,37.62,USA,31.73
Chief of Staff,Manufacturing,Decreasing,High,82967.54,Bachelors Degree,17,7923,1834,66.05,51.23,USA,46
Environmental health practitioner,Healthcare,Decreasing,High,85763.64,Bachelors Degree,8,8830,7825,64.04,66.47,Australia,63.4
"Scientist, biomedical",Retail,Increasing,Moderate,28000,Associate Degree,0,618,8944,79.8,70.34,USA,61.43
"Designer, fashion/clothing",Healthcare,Decreasing,High,70710.77,Associate Degree,8,9548,7281,63.04,68.08,USA,27.5
Information systems manager,Transportation,Decreasing,High,63372.81,Associate Degree,12,7530,390,46.88,84.19,USA,71.88
Broadcast presenter,Finance,Decreasing,Low,40313.84,High School,6,6281,7520,73.54,88.09,Brazil,20.76
Physiotherapist,Finance,Decreasing,Moderate,93993.66,Associate Degree,17,6967,6939,87.86,68,Germany,44.41
